book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
4,Numbers,1,1,Numbers 1:1,1,Locutusque,,,,Clementine,VUL
4,Numbers,1,1,Numbers 1:1,2,est,,,,Clementine,VUL
4,Numbers,1,1,Numbers 1:1,3,Dominus,,,,Clementine,VUL
4,Numbers,1,1,Numbers 1:1,4,ad,,,,Clementine,VUL
4,Numbers,1,1,Numbers 1:1,5,Moysen,,,,Clementine,VUL
4,Numbers,1,1,Numbers 1:1,6,in,,,,Clementine,VUL
4,Numbers,1,1,Numbers 1:1,7,deserto,,,,Clementine,VUL
4,Numbers,1,1,Numbers 1:1,8,Sinai,,,,Clementine,VUL
4,Numbers,1,1,Numbers 1:1,9,in,,,,Clementine,VUL
4,Numbers,1,1,Numbers 1:1,10,tabernaculo,,,,Clementine,VUL
4,Numbers,1,1,Numbers 1:1,11,"fœderis,",,,,Clementine,VUL
4,Numbers,1,1,Numbers 1:1,12,prima,,,,Clementine,VUL
4,Numbers,1,1,Numbers 1:1,13,die,,,,Clementine,VUL
4,Numbers,1,1,Numbers 1:1,14,mensis,,,,Clementine,VUL
4,Numbers,1,1,Numbers 1:1,15,"secundi,",,,,Clementine,VUL
4,Numbers,1,1,Numbers 1:1,16,anno,,,,Clementine,VUL
4,Numbers,1,1,Numbers 1:1,17,altero,,,,Clementine,VUL
4,Numbers,1,1,Numbers 1:1,18,egressionis,,,,Clementine,VUL
4,Numbers,1,1,Numbers 1:1,19,eorum,,,,Clementine,VUL
4,Numbers,1,1,Numbers 1:1,20,ex,,,,Clementine,VUL
4,Numbers,1,1,Numbers 1:1,21,"Ægypto,",,,,Clementine,VUL
4,Numbers,1,1,Numbers 1:1,22,dicens,,,,Clementine,VUL
4,Numbers,1,1,Numbers 1:1,23,:,,,,Clementine,VUL
4,Numbers,1,2,Numbers 1:2,1,Tollite,,,,Clementine,VUL
4,Numbers,1,2,Numbers 1:2,2,summam,,,,Clementine,VUL
4,Numbers,1,2,Numbers 1:2,3,universæ,,,,Clementine,VUL
4,Numbers,1,2,Numbers 1:2,4,congregationis,,,,Clementine,VUL
4,Numbers,1,2,Numbers 1:2,5,filiorum,,,,Clementine,VUL
4,Numbers,1,2,Numbers 1:2,6,Israël,,,,Clementine,VUL
4,Numbers,1,2,Numbers 1:2,7,per,,,,Clementine,VUL
4,Numbers,1,2,Numbers 1:2,8,cognationes,,,,Clementine,VUL
4,Numbers,1,2,Numbers 1:2,9,et,,,,Clementine,VUL
4,Numbers,1,2,Numbers 1:2,10,domos,,,,Clementine,VUL
4,Numbers,1,2,Numbers 1:2,11,"suas,",,,,Clementine,VUL
4,Numbers,1,2,Numbers 1:2,12,et,,,,Clementine,VUL
4,Numbers,1,2,Numbers 1:2,13,nomina,,,,Clementine,VUL
