book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
31,Obadiah,1,1,Obadiah 1:1,1,Visio,,,,Clementine,VUL
31,Obadiah,1,1,Obadiah 1:1,2,Abdiæ.,,,,Clementine,VUL
31,Obadiah,1,1,Obadiah 1:1,3,Hæc,,,,Clementine,VUL
31,Obadiah,1,1,Obadiah 1:1,4,dicit,,,,Clementine,VUL
31,Obadiah,1,1,Obadiah 1:1,5,Dominus,,,,Clementine,VUL
31,Obadiah,1,1,Obadiah 1:1,6,Deus,,,,Clementine,VUL
31,Obadiah,1,1,Obadiah 1:1,7,ad,,,,Clementine,VUL
31,Obadiah,1,1,Obadiah 1:1,8,Edom,,,,Clementine,VUL
31,Obadiah,1,1,Obadiah 1:1,9,:,,,,Clementine,VUL
31,Obadiah,1,1,Obadiah 1:1,10,Auditum,,,,Clementine,VUL
31,Obadiah,1,1,Obadiah 1:1,11,audivimus,,,,Clementine,VUL
31,Obadiah,1,1,Obadiah 1:1,12,a,,,,Clementine,VUL
31,Obadiah,1,1,Obadiah 1:1,13,"Domino,",,,,Clementine,VUL
31,Obadiah,1,1,Obadiah 1:1,14,et,,,,Clementine,VUL
31,Obadiah,1,1,Obadiah 1:1,15,legatum,,,,Clementine,VUL
31,Obadiah,1,1,Obadiah 1:1,16,ad,,,,Clementine,VUL
31,Obadiah,1,1,Obadiah 1:1,17,gentes,,,,Clementine,VUL
31,Obadiah,1,1,Obadiah 1:1,18,misit,,,,Clementine,VUL
31,Obadiah,1,1,Obadiah 1:1,19,:,,,,Clementine,VUL
31,Obadiah,1,1,Obadiah 1:1,20,"surgite,",,,,Clementine,VUL
31,Obadiah,1,1,Obadiah 1:1,21,et,,,,Clementine,VUL
31,Obadiah,1,1,Obadiah 1:1,22,consurgamus,,,,Clementine,VUL
31,Obadiah,1,1,Obadiah 1:1,23,adversus,,,,Clementine,VUL
31,Obadiah,1,1,Obadiah 1:1,24,eum,,,,Clementine,VUL
31,Obadiah,1,1,Obadiah 1:1,25,in,,,,Clementine,VUL
31,Obadiah,1,1,Obadiah 1:1,26,prælium.,,,,Clementine,VUL
31,Obadiah,1,2,Obadiah 1:2,1,Ecce,,,,Clementine,VUL
31,Obadiah,1,2,Obadiah 1:2,2,parvulum,,,,Clementine,VUL
31,Obadiah,1,2,Obadiah 1:2,3,dedi,,,,Clementine,VUL
31,Obadiah,1,2,Obadiah 1:2,4,te,,,,Clementine,VUL
31,Obadiah,1,2,Obadiah 1:2,5,in,,,,Clementine,VUL
31,Obadiah,1,2,Obadiah 1:2,6,gentibus,,,,Clementine,VUL
31,Obadiah,1,2,Obadiah 1:2,7,:,,,,Clementine,VUL
31,Obadiah,1,2,Obadiah 1:2,8,contemptibilis,,,,Clementine,VUL
31,Obadiah,1,2,Obadiah 1:2,9,tu,,,,Clementine,VUL
31,Obadiah,1,2,Obadiah 1:2,10,es,,,,Clementine,VUL
31,Obadiah,1,2,Obadiah 1:2,11,valde.,,,,Clementine,VUL
31,Obadiah,1,3,Obadiah 1:3,1,Superbia,,,,Clementine,VUL
31,Obadiah,1,3,Obadiah 1:3,2,cordis,,,,Clementine,VUL
31,Obadiah,1,3,Obadiah 1:3,3,tui,,,,Clementine,VUL
31,Obadiah,1,3,Obadiah 1:3,4,extulit,,,,Clementine,VUL
31,Obadiah,1,3,Obadiah 1:3,5,"te,",,,,Clementine,VUL
31,Obadiah,1,3,Obadiah 1:3,6,habitantem,,,,Clementine,VUL
31,Obadiah,1,3,Obadiah 1:3,7,in,,,,Clementine,VUL
31,Obadiah,1,3,Obadiah 1:3,8,scissuris,,,,Clementine,VUL
31,Obadiah,1,3,Obadiah 1:3,9,"petrarum,",,,,Clementine,VUL
31,Obadiah,1,3,Obadiah 1:3,10,exaltantem,,,,Clementine,VUL
31,Obadiah,1,3,Obadiah 1:3,11,solium,,,,Clementine,VUL
31,Obadiah,1,3,Obadiah 1:3,12,tuum,,,,Clementine,VUL
31,Obadiah,1,3,Obadiah 1:3,13,;,,,,Clementine,VUL
31,Obadiah,1,3,Obadiah 1:3,14,qui,,,,Clementine,VUL
31,Obadiah,1,3,Obadiah 1:3,15,dicis,,,,Clementine,VUL
31,Obadiah,1,3,Obadiah 1:3,16,in,,,,Clementine,VUL
31,Obadiah,1,3,Obadiah 1:3,17,corde,,,,Clementine,VUL
31,Obadiah,1,3,Obadiah 1:3,18,tuo,,,,Clementine,VUL
31,Obadiah,1,3,Obadiah 1:3,19,:,,,,Clementine,VUL
31,Obadiah,1,3,Obadiah 1:3,20,Quis,,,,Clementine,VUL
31,Obadiah,1,3,Obadiah 1:3,21,detrahet,,,,Clementine,VUL
31,Obadiah,1,3,Obadiah 1:3,22,me,,,,Clementine,VUL
31,Obadiah,1,3,Obadiah 1:3,23,in,,,,Clementine,VUL
31,Obadiah,1,3,Obadiah 1:3,24,terram,,,,Clementine,VUL
31,Obadiah,1,3,Obadiah 1:3,25,?,,,,Clementine,VUL
31,Obadiah,1,4,Obadiah 1:4,1,Si,,,,Clementine,VUL
31,Obadiah,1,4,Obadiah 1:4,2,exaltatus,,,,Clementine,VUL
31,Obadiah,1,4,Obadiah 1:4,3,fueris,,,,Clementine,VUL
31,Obadiah,1,4,Obadiah 1:4,4,ut,,,,Clementine,VUL
31,Obadiah,1,4,Obadiah 1:4,5,"aquila,",,,,Clementine,VUL
31,Obadiah,1,4,Obadiah 1:4,6,et,,,,Clementine,VUL
31,Obadiah,1,4,Obadiah 1:4,7,si,,,,Clementine,VUL
31,Obadiah,1,4,Obadiah 1:4,8,inter,,,,Clementine,VUL
31,Obadiah,1,4,Obadiah 1:4,9,sidera,,,,Clementine,VUL
31,Obadiah,1,4,Obadiah 1:4,10,posueris,,,,Clementine,VUL
31,Obadiah,1,4,Obadiah 1:4,11,nidum,,,,Clementine,VUL
31,Obadiah,1,4,Obadiah 1:4,12,"tuum,",,,,Clementine,VUL
31,Obadiah,1,4,Obadiah 1:4,13,inde,,,,Clementine,VUL
31,Obadiah,1,4,Obadiah 1:4,14,detraham,,,,Clementine,VUL
31,Obadiah,1,4,Obadiah 1:4,15,"te,",,,,Clementine,VUL
31,Obadiah,1,4,Obadiah 1:4,16,dicit,,,,Clementine,VUL
31,Obadiah,1,4,Obadiah 1:4,17,Dominus.,,,,Clementine,VUL
31,Obadiah,1,5,Obadiah 1:5,1,Si,,,,Clementine,VUL
31,Obadiah,1,5,Obadiah 1:5,2,fures,,,,Clementine,VUL
31,Obadiah,1,5,Obadiah 1:5,3,introissent,,,,Clementine,VUL
31,Obadiah,1,5,Obadiah 1:5,4,ad,,,,Clementine,VUL
31,Obadiah,1,5,Obadiah 1:5,5,"te,",,,,Clementine,VUL
31,Obadiah,1,5,Obadiah 1:5,6,si,,,,Clementine,VUL
31,Obadiah,1,5,Obadiah 1:5,7,latrones,,,,Clementine,VUL
31,Obadiah,1,5,Obadiah 1:5,8,per,,,,Clementine,VUL
31,Obadiah,1,5,Obadiah 1:5,9,"noctem,",,,,Clementine,VUL
