book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
58,Philemon,1,1,Philemon 1:1,1,Paulus,,,,Clementine,VUL
58,Philemon,1,1,Philemon 1:1,2,vinctus,,,,Clementine,VUL
58,Philemon,1,1,Philemon 1:1,3,Christi,,,,Clementine,VUL
58,Philemon,1,1,Philemon 1:1,4,"Jesu,",,,,Clementine,VUL
58,Philemon,1,1,Philemon 1:1,5,et,,,,Clementine,VUL
58,Philemon,1,1,Philemon 1:1,6,Timotheus,,,,Clementine,VUL
58,Philemon,1,1,Philemon 1:1,7,"frater,",,,,Clementine,VUL
58,Philemon,1,1,Philemon 1:1,8,Philemoni,,,,Clementine,VUL
58,Philemon,1,1,Philemon 1:1,9,"dilecto,",,,,Clementine,VUL
58,Philemon,1,1,Philemon 1:1,10,et,,,,Clementine,VUL
58,Philemon,1,1,Philemon 1:1,11,adjutori,,,,Clementine,VUL
58,Philemon,1,1,Philemon 1:1,12,"nostro,",,,,Clementine,VUL
58,Philemon,1,2,Philemon 1:2,1,et,,,,Clementine,VUL
58,Philemon,1,2,Philemon 1:2,2,Appiæ,,,,Clementine,VUL
58,Philemon,1,2,Philemon 1:2,3,sorori,,,,Clementine,VUL
58,Philemon,1,2,Philemon 1:2,4,"carissimæ,",,,,Clementine,VUL
58,Philemon,1,2,Philemon 1:2,5,et,,,,Clementine,VUL
58,Philemon,1,2,Philemon 1:2,6,Archippo,,,,Clementine,VUL
58,Philemon,1,2,Philemon 1:2,7,commilitoni,,,,Clementine,VUL
58,Philemon,1,2,Philemon 1:2,8,"nostro,",,,,Clementine,VUL
58,Philemon,1,2,Philemon 1:2,9,et,,,,Clementine,VUL
58,Philemon,1,2,Philemon 1:2,10,"ecclesiæ,",,,,Clementine,VUL
58,Philemon,1,2,Philemon 1:2,11,quæ,,,,Clementine,VUL
58,Philemon,1,2,Philemon 1:2,12,in,,,,Clementine,VUL
58,Philemon,1,2,Philemon 1:2,13,domo,,,,Clementine,VUL
58,Philemon,1,2,Philemon 1:2,14,tua,,,,Clementine,VUL
58,Philemon,1,2,Philemon 1:2,15,est.,,,,Clementine,VUL
58,Philemon,1,3,Philemon 1:3,1,Gratia,,,,Clementine,VUL
58,Philemon,1,3,Philemon 1:3,2,"vobis,",,,,Clementine,VUL
58,Philemon,1,3,Philemon 1:3,3,et,,,,Clementine,VUL
58,Philemon,1,3,Philemon 1:3,4,pax,,,,Clementine,VUL
58,Philemon,1,3,Philemon 1:3,5,a,,,,Clementine,VUL
58,Philemon,1,3,Philemon 1:3,6,Deo,,,,Clementine,VUL
58,Philemon,1,3,Philemon 1:3,7,Patre,,,,Clementine,VUL
58,Philemon,1,3,Philemon 1:3,8,"nostro,",,,,Clementine,VUL
58,Philemon,1,3,Philemon 1:3,9,et,,,,Clementine,VUL
58,Philemon,1,3,Philemon 1:3,10,Domino,,,,Clementine,VUL
58,Philemon,1,3,Philemon 1:3,11,Jesu,,,,Clementine,VUL
58,Philemon,1,3,Philemon 1:3,12,Christo.,,,,Clementine,VUL
58,Philemon,1,4,Philemon 1:4,1,Gratias,,,,Clementine,VUL
58,Philemon,1,4,Philemon 1:4,2,ago,,,,Clementine,VUL
58,Philemon,1,4,Philemon 1:4,3,Deo,,,,Clementine,VUL
58,Philemon,1,4,Philemon 1:4,4,"meo,",,,,Clementine,VUL
58,Philemon,1,4,Philemon 1:4,5,semper,,,,Clementine,VUL
58,Philemon,1,4,Philemon 1:4,6,memoriam,,,,Clementine,VUL
58,Philemon,1,4,Philemon 1:4,7,tui,,,,Clementine,VUL
58,Philemon,1,4,Philemon 1:4,8,faciens,,,,Clementine,VUL
58,Philemon,1,4,Philemon 1:4,9,in,,,,Clementine,VUL
58,Philemon,1,4,Philemon 1:4,10,orationibus,,,,Clementine,VUL
58,Philemon,1,4,Philemon 1:4,11,"meis,",,,,Clementine,VUL
58,Philemon,1,5,Philemon 1:5,1,audiens,,,,Clementine,VUL
58,Philemon,1,5,Philemon 1:5,2,caritatem,,,,Clementine,VUL
58,Philemon,1,5,Philemon 1:5,3,"tuam,",,,,Clementine,VUL
58,Philemon,1,5,Philemon 1:5,4,et,,,,Clementine,VUL
58,Philemon,1,5,Philemon 1:5,5,"fidem,",,,,Clementine,VUL
58,Philemon,1,5,Philemon 1:5,6,quam,,,,Clementine,VUL
58,Philemon,1,5,Philemon 1:5,7,habes,,,,Clementine,VUL
58,Philemon,1,5,Philemon 1:5,8,in,,,,Clementine,VUL
58,Philemon,1,5,Philemon 1:5,9,Domino,,,,Clementine,VUL
58,Philemon,1,5,Philemon 1:5,10,"Jesu,",,,,Clementine,VUL
58,Philemon,1,5,Philemon 1:5,11,et,,,,Clementine,VUL
58,Philemon,1,5,Philemon 1:5,12,in,,,,Clementine,VUL
58,Philemon,1,5,Philemon 1:5,13,omnes,,,,Clementine,VUL
58,Philemon,1,5,Philemon 1:5,14,sanctos,,,,Clementine,VUL
58,Philemon,1,5,Philemon 1:5,15,:,,,,Clementine,VUL
58,Philemon,1,6,Philemon 1:6,1,ut,,,,Clementine,VUL
58,Philemon,1,6,Philemon 1:6,2,communicatio,,,,Clementine,VUL
58,Philemon,1,6,Philemon 1:6,3,fidei,,,,Clementine,VUL
58,Philemon,1,6,Philemon 1:6,4,tuæ,,,,Clementine,VUL
58,Philemon,1,6,Philemon 1:6,5,evidens,,,,Clementine,VUL
58,Philemon,1,6,Philemon 1:6,6,fiat,,,,Clementine,VUL
58,Philemon,1,6,Philemon 1:6,7,in,,,,Clementine,VUL
58,Philemon,1,6,Philemon 1:6,8,agnitione,,,,Clementine,VUL
58,Philemon,1,6,Philemon 1:6,9,omnis,,,,Clementine,VUL
58,Philemon,1,6,Philemon 1:6,10,operis,,,,Clementine,VUL
58,Philemon,1,6,Philemon 1:6,11,"boni,",,,,Clementine,VUL
58,Philemon,1,6,Philemon 1:6,12,quod,,,,Clementine,VUL
58,Philemon,1,6,Philemon 1:6,13,est,,,,Clementine,VUL
58,Philemon,1,6,Philemon 1:6,14,in,,,,Clementine,VUL
58,Philemon,1,6,Philemon 1:6,15,vobis,,,,Clementine,VUL
58,Philemon,1,6,Philemon 1:6,16,in,,,,Clementine,VUL
58,Philemon,1,6,Philemon 1:6,17,Christo,,,,Clementine,VUL
58,Philemon,1,6,Philemon 1:6,18,Jesu.,,,,Clementine,VUL
58,Philemon,1,7,Philemon 1:7,1,Gaudium,,,,Clementine,VUL
58,Philemon,1,7,Philemon 1:7,2,enim,,,,Clementine,VUL
58,Philemon,1,7,Philemon 1:7,3,magnum,,,,Clementine,VUL
58,Philemon,1,7,Philemon 1:7,4,"habui,",,,,Clementine,VUL
58,Philemon,1,7,Philemon 1:7,5,et,,,,Clementine,VUL
58,Philemon,1,7,Philemon 1:7,6,consolationem,,,,Clementine,VUL
58,Philemon,1,7,Philemon 1:7,7,in,,,,Clementine,VUL
58,Philemon,1,7,Philemon 1:7,8,caritate,,,,Clementine,VUL
58,Philemon,1,7,Philemon 1:7,9,tua,,,,Clementine,VUL
58,Philemon,1,7,Philemon 1:7,10,:,,,,Clementine,VUL
58,Philemon,1,7,Philemon 1:7,11,quia,,,,Clementine,VUL
58,Philemon,1,7,Philemon 1:7,12,viscera,,,,Clementine,VUL
58,Philemon,1,7,Philemon 1:7,13,sanctorum,,,,Clementine,VUL
58,Philemon,1,7,Philemon 1:7,14,requieverunt,,,,Clementine,VUL
58,Philemon,1,7,Philemon 1:7,15,per,,,,Clementine,VUL
58,Philemon,1,7,Philemon 1:7,16,"te,",,,,Clementine,VUL
58,Philemon,1,7,Philemon 1:7,17,frater.,,,,Clementine,VUL
58,Philemon,1,8,Philemon 1:8,1,Propter,,,,Clementine,VUL
58,Philemon,1,8,Philemon 1:8,2,quod,,,,Clementine,VUL
58,Philemon,1,8,Philemon 1:8,3,multam,,,,Clementine,VUL
58,Philemon,1,8,Philemon 1:8,4,fiduciam,,,,Clementine,VUL
58,Philemon,1,8,Philemon 1:8,5,habens,,,,Clementine,VUL
58,Philemon,1,8,Philemon 1:8,6,in,,,,Clementine,VUL
58,Philemon,1,8,Philemon 1:8,7,Christo,,,,Clementine,VUL
58,Philemon,1,8,Philemon 1:8,8,Jesu,,,,Clementine,VUL
58,Philemon,1,8,Philemon 1:8,9,imperandi,,,,Clementine,VUL
58,Philemon,1,8,Philemon 1:8,10,tibi,,,,Clementine,VUL
58,Philemon,1,8,Philemon 1:8,11,quod,,,,Clementine,VUL
58,Philemon,1,8,Philemon 1:8,12,ad,,,,Clementine,VUL
58,Philemon,1,8,Philemon 1:8,13,rem,,,,Clementine,VUL
58,Philemon,1,8,Philemon 1:8,14,pertinet,,,,Clementine,VUL
58,Philemon,1,8,Philemon 1:8,15,:,,,,Clementine,VUL
58,Philemon,1,9,Philemon 1:9,1,propter,,,,Clementine,VUL
58,Philemon,1,9,Philemon 1:9,2,caritatem,,,,Clementine,VUL
58,Philemon,1,9,Philemon 1:9,3,magis,,,,Clementine,VUL
58,Philemon,1,9,Philemon 1:9,4,"obsecro,",,,,Clementine,VUL
58,Philemon,1,9,Philemon 1:9,5,cum,,,,Clementine,VUL
58,Philemon,1,9,Philemon 1:9,6,sis,,,,Clementine,VUL
58,Philemon,1,9,Philemon 1:9,7,"talis,",,,,Clementine,VUL
58,Philemon,1,9,Philemon 1:9,8,ut,,,,Clementine,VUL
58,Philemon,1,9,Philemon 1:9,9,Paulus,,,,Clementine,VUL
58,Philemon,1,9,Philemon 1:9,10,"senex,",,,,Clementine,VUL
58,Philemon,1,9,Philemon 1:9,11,nunc,,,,Clementine,VUL
58,Philemon,1,9,Philemon 1:9,12,autem,,,,Clementine,VUL
58,Philemon,1,9,Philemon 1:9,13,et,,,,Clementine,VUL
58,Philemon,1,9,Philemon 1:9,14,vinctus,,,,Clementine,VUL
58,Philemon,1,9,Philemon 1:9,15,Jesu,,,,Clementine,VUL
58,Philemon,1,9,Philemon 1:9,16,Christi,,,,Clementine,VUL
58,Philemon,1,9,Philemon 1:9,17,:,,,,Clementine,VUL
58,Philemon,1,10,Philemon 1:10,1,obsecro,,,,Clementine,VUL
58,Philemon,1,10,Philemon 1:10,2,te,,,,Clementine,VUL
58,Philemon,1,10,Philemon 1:10,3,pro,,,,Clementine,VUL
58,Philemon,1,10,Philemon 1:10,4,meo,,,,Clementine,VUL
58,Philemon,1,10,Philemon 1:10,5,"filio,",,,,Clementine,VUL
58,Philemon,1,10,Philemon 1:10,6,quem,,,,Clementine,VUL
58,Philemon,1,10,Philemon 1:10,7,genui,,,,Clementine,VUL
58,Philemon,1,10,Philemon 1:10,8,in,,,,Clementine,VUL
58,Philemon,1,10,Philemon 1:10,9,"vinculis,",,,,Clementine,VUL
58,Philemon,1,10,Philemon 1:10,10,"Onesimo,",,,,Clementine,VUL
58,Philemon,1,11,Philemon 1:11,1,qui,,,,Clementine,VUL
58,Philemon,1,11,Philemon 1:11,2,tibi,,,,Clementine,VUL
58,Philemon,1,11,Philemon 1:11,3,aliquando,,,,Clementine,VUL
58,Philemon,1,11,Philemon 1:11,4,inutilis,,,,Clementine,VUL
58,Philemon,1,11,Philemon 1:11,5,"fuit,",,,,Clementine,VUL
58,Philemon,1,11,Philemon 1:11,6,nunc,,,,Clementine,VUL
58,Philemon,1,11,Philemon 1:11,7,autem,,,,Clementine,VUL
58,Philemon,1,11,Philemon 1:11,8,et,,,,Clementine,VUL
58,Philemon,1,11,Philemon 1:11,9,mihi,,,,Clementine,VUL
58,Philemon,1,11,Philemon 1:11,10,et,,,,Clementine,VUL
58,Philemon,1,11,Philemon 1:11,11,tibi,,,,Clementine,VUL
58,Philemon,1,11,Philemon 1:11,12,"utilis,",,,,Clementine,VUL
58,Philemon,1,12,Philemon 1:12,1,quem,,,,Clementine,VUL
58,Philemon,1,12,Philemon 1:12,2,remisi,,,,Clementine,VUL
58,Philemon,1,12,Philemon 1:12,3,tibi.,,,,Clementine,VUL
58,Philemon,1,12,Philemon 1:12,4,Tu,,,,Clementine,VUL
58,Philemon,1,12,Philemon 1:12,5,autem,,,,Clementine,VUL
58,Philemon,1,12,Philemon 1:12,6,"illum,",,,,Clementine,VUL
