book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
51,Philippians,1,1,Philippians 1:1,1,Paulus,,,,Clementine,VUL
51,Philippians,1,1,Philippians 1:1,2,et,,,,Clementine,VUL
51,Philippians,1,1,Philippians 1:1,3,"Timotheus,",,,,Clementine,VUL
51,Philippians,1,1,Philippians 1:1,4,servi,,,,Clementine,VUL
51,Philippians,1,1,Philippians 1:1,5,Jesu,,,,Clementine,VUL
51,Philippians,1,1,Philippians 1:1,6,"Christi,",,,,Clementine,VUL
51,Philippians,1,1,Philippians 1:1,7,omnibus,,,,Clementine,VUL
51,Philippians,1,1,Philippians 1:1,8,sanctis,,,,Clementine,VUL
51,Philippians,1,1,Philippians 1:1,9,in,,,,Clementine,VUL
51,Philippians,1,1,Philippians 1:1,10,Christo,,,,Clementine,VUL
51,Philippians,1,1,Philippians 1:1,11,"Jesu,",,,,Clementine,VUL
51,Philippians,1,1,Philippians 1:1,12,qui,,,,Clementine,VUL
51,Philippians,1,1,Philippians 1:1,13,sunt,,,,Clementine,VUL
51,Philippians,1,1,Philippians 1:1,14,"Philippis,",,,,Clementine,VUL
51,Philippians,1,1,Philippians 1:1,15,cum,,,,Clementine,VUL
51,Philippians,1,1,Philippians 1:1,16,episcopis,,,,Clementine,VUL
51,Philippians,1,1,Philippians 1:1,17,et,,,,Clementine,VUL
51,Philippians,1,1,Philippians 1:1,18,diaconibus.,,,,Clementine,VUL
51,Philippians,1,2,Philippians 1:2,1,Gratia,,,,Clementine,VUL
51,Philippians,1,2,Philippians 1:2,2,"vobis,",,,,Clementine,VUL
51,Philippians,1,2,Philippians 1:2,3,et,,,,Clementine,VUL
51,Philippians,1,2,Philippians 1:2,4,pax,,,,Clementine,VUL
51,Philippians,1,2,Philippians 1:2,5,a,,,,Clementine,VUL
51,Philippians,1,2,Philippians 1:2,6,Deo,,,,Clementine,VUL
51,Philippians,1,2,Philippians 1:2,7,Patre,,,,Clementine,VUL
51,Philippians,1,2,Philippians 1:2,8,"nostro,",,,,Clementine,VUL
51,Philippians,1,2,Philippians 1:2,9,et,,,,Clementine,VUL
51,Philippians,1,2,Philippians 1:2,10,Domino,,,,Clementine,VUL
51,Philippians,1,2,Philippians 1:2,11,Jesu,,,,Clementine,VUL
51,Philippians,1,2,Philippians 1:2,12,Christo.,,,,Clementine,VUL
51,Philippians,1,3,Philippians 1:3,1,Gratias,,,,Clementine,VUL
51,Philippians,1,3,Philippians 1:3,2,ago,,,,Clementine,VUL
51,Philippians,1,3,Philippians 1:3,3,Deo,,,,Clementine,VUL
