book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
20,Proverbs,1,1,Proverbs 1:1,1,Parabolæ,,,,Clementine,VUL
20,Proverbs,1,1,Proverbs 1:1,2,"Salomonis,",,,,Clementine,VUL
20,Proverbs,1,1,Proverbs 1:1,3,filii,,,,Clementine,VUL
20,Proverbs,1,1,Proverbs 1:1,4,"David,",,,,Clementine,VUL
20,Proverbs,1,1,Proverbs 1:1,5,regis,,,,Clementine,VUL
20,Proverbs,1,1,Proverbs 1:1,6,"Israël,",,,,Clementine,VUL
20,Proverbs,1,2,Proverbs 1:2,1,ad,,,,Clementine,VUL
20,Proverbs,1,2,Proverbs 1:2,2,sciendam,,,,Clementine,VUL
20,Proverbs,1,2,Proverbs 1:2,3,sapientiam,,,,Clementine,VUL
20,Proverbs,1,2,Proverbs 1:2,4,et,,,,Clementine,VUL
20,Proverbs,1,2,Proverbs 1:2,5,disciplinam,,,,Clementine,VUL
20,Proverbs,1,2,Proverbs 1:2,6,;,,,,Clementine,VUL
20,Proverbs,1,3,Proverbs 1:3,1,ad,,,,Clementine,VUL
20,Proverbs,1,3,Proverbs 1:3,2,intelligenda,,,,Clementine,VUL
20,Proverbs,1,3,Proverbs 1:3,3,verba,,,,Clementine,VUL
20,Proverbs,1,3,Proverbs 1:3,4,"prudentiæ,",,,,Clementine,VUL
20,Proverbs,1,3,Proverbs 1:3,5,et,,,,Clementine,VUL
20,Proverbs,1,3,Proverbs 1:3,6,suscipiendam,,,,Clementine,VUL
20,Proverbs,1,3,Proverbs 1:3,7,eruditionem,,,,Clementine,VUL
20,Proverbs,1,3,Proverbs 1:3,8,"doctrinæ,",,,,Clementine,VUL
20,Proverbs,1,3,Proverbs 1:3,9,"justitiam,",,,,Clementine,VUL
20,Proverbs,1,3,Proverbs 1:3,10,et,,,,Clementine,VUL
20,Proverbs,1,3,Proverbs 1:3,11,"judicium,",,,,Clementine,VUL
20,Proverbs,1,3,Proverbs 1:3,12,et,,,,Clementine,VUL
20,Proverbs,1,3,Proverbs 1:3,13,æquitatem,,,,Clementine,VUL
20,Proverbs,1,3,Proverbs 1:3,14,:,,,,Clementine,VUL
20,Proverbs,1,4,Proverbs 1:4,1,ut,,,,Clementine,VUL
20,Proverbs,1,4,Proverbs 1:4,2,detur,,,,Clementine,VUL
20,Proverbs,1,4,Proverbs 1:4,3,parvulis,,,,Clementine,VUL
20,Proverbs,1,4,Proverbs 1:4,4,"astutia,",,,,Clementine,VUL
20,Proverbs,1,4,Proverbs 1:4,5,adolescenti,,,,Clementine,VUL
20,Proverbs,1,4,Proverbs 1:4,6,scientia,,,,Clementine,VUL
20,Proverbs,1,4,Proverbs 1:4,7,et,,,,Clementine,VUL
20,Proverbs,1,4,Proverbs 1:4,8,intellectus.,,,,Clementine,VUL
20,Proverbs,1,5,Proverbs 1:5,1,Audiens,,,,Clementine,VUL
20,Proverbs,1,5,Proverbs 1:5,2,"sapiens,",,,,Clementine,VUL
20,Proverbs,1,5,Proverbs 1:5,3,sapientior,,,,Clementine,VUL
20,Proverbs,1,5,Proverbs 1:5,4,"erit,",,,,Clementine,VUL
20,Proverbs,1,5,Proverbs 1:5,5,et,,,,Clementine,VUL
20,Proverbs,1,5,Proverbs 1:5,6,intelligens,,,,Clementine,VUL
20,Proverbs,1,5,Proverbs 1:5,7,gubernacula,,,,Clementine,VUL
20,Proverbs,1,5,Proverbs 1:5,8,possidebit.,,,,Clementine,VUL
20,Proverbs,1,6,Proverbs 1:6,1,Animadvertet,,,,Clementine,VUL
20,Proverbs,1,6,Proverbs 1:6,2,parabolam,,,,Clementine,VUL
20,Proverbs,1,6,Proverbs 1:6,3,et,,,,Clementine,VUL
20,Proverbs,1,6,Proverbs 1:6,4,"interpretationem,",,,,Clementine,VUL
20,Proverbs,1,6,Proverbs 1:6,5,verba,,,,Clementine,VUL
20,Proverbs,1,6,Proverbs 1:6,6,sapientum,,,,Clementine,VUL
20,Proverbs,1,6,Proverbs 1:6,7,et,,,,Clementine,VUL
20,Proverbs,1,6,Proverbs 1:6,8,ænigmata,,,,Clementine,VUL
20,Proverbs,1,6,Proverbs 1:6,9,eorum.,,,,Clementine,VUL
20,Proverbs,1,7,Proverbs 1:7,1,Timor,,,,Clementine,VUL
20,Proverbs,1,7,Proverbs 1:7,2,Domini,,,,Clementine,VUL
20,Proverbs,1,7,Proverbs 1:7,3,principium,,,,Clementine,VUL
20,Proverbs,1,7,Proverbs 1:7,4,sapientiæ,,,,Clementine,VUL
20,Proverbs,1,7,Proverbs 1:7,5,;,,,,Clementine,VUL
20,Proverbs,1,7,Proverbs 1:7,6,sapientiam,,,,Clementine,VUL
20,Proverbs,1,7,Proverbs 1:7,7,atque,,,,Clementine,VUL
20,Proverbs,1,7,Proverbs 1:7,8,doctrinam,,,,Clementine,VUL
20,Proverbs,1,7,Proverbs 1:7,9,stulti,,,,Clementine,VUL
20,Proverbs,1,7,Proverbs 1:7,10,despiciunt.,,,,Clementine,VUL
20,Proverbs,1,8,Proverbs 1:8,1,"Audi,",,,,Clementine,VUL
20,Proverbs,1,8,Proverbs 1:8,2,fili,,,,Clementine,VUL
20,Proverbs,1,8,Proverbs 1:8,3,"mi,",,,,Clementine,VUL
20,Proverbs,1,8,Proverbs 1:8,4,disciplinam,,,,Clementine,VUL
20,Proverbs,1,8,Proverbs 1:8,5,patris,,,,Clementine,VUL
20,Proverbs,1,8,Proverbs 1:8,6,"tui,",,,,Clementine,VUL
20,Proverbs,1,8,Proverbs 1:8,7,et,,,,Clementine,VUL
20,Proverbs,1,8,Proverbs 1:8,8,ne,,,,Clementine,VUL
20,Proverbs,1,8,Proverbs 1:8,9,dimittas,,,,Clementine,VUL
20,Proverbs,1,8,Proverbs 1:8,10,legem,,,,Clementine,VUL
20,Proverbs,1,8,Proverbs 1:8,11,matris,,,,Clementine,VUL
20,Proverbs,1,8,Proverbs 1:8,12,tuæ,,,,Clementine,VUL
20,Proverbs,1,8,Proverbs 1:8,13,:,,,,Clementine,VUL
20,Proverbs,1,9,Proverbs 1:9,1,ut,,,,Clementine,VUL
20,Proverbs,1,9,Proverbs 1:9,2,addatur,,,,Clementine,VUL
