book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
19,Psalms,1,1,Psalms 1:1,1,Beatus,,,,Clementine,VUL
19,Psalms,1,1,Psalms 1:1,2,vir,,,,Clementine,VUL
19,Psalms,1,1,Psalms 1:1,3,qui,,,,Clementine,VUL
19,Psalms,1,1,Psalms 1:1,4,non,,,,Clementine,VUL
19,Psalms,1,1,Psalms 1:1,5,abiit,,,,Clementine,VUL
19,Psalms,1,1,Psalms 1:1,6,in,,,,Clementine,VUL
19,Psalms,1,1,Psalms 1:1,7,consilio,,,,Clementine,VUL
19,Psalms,1,1,Psalms 1:1,8,"impiorum,",,,,Clementine,VUL
19,Psalms,1,1,Psalms 1:1,9,et,,,,Clementine,VUL
19,Psalms,1,1,Psalms 1:1,10,in,,,,Clementine,VUL
19,Psalms,1,1,Psalms 1:1,11,via,,,,Clementine,VUL
19,Psalms,1,1,Psalms 1:1,12,peccatorum,,,,Clementine,VUL
19,Psalms,1,1,Psalms 1:1,13,non,,,,Clementine,VUL
19,Psalms,1,1,Psalms 1:1,14,"stetit,",,,,Clementine,VUL
19,Psalms,1,1,Psalms 1:1,15,et,,,,Clementine,VUL
19,Psalms,1,1,Psalms 1:1,16,in,,,,Clementine,VUL
19,Psalms,1,1,Psalms 1:1,17,cathedra,,,,Clementine,VUL
19,Psalms,1,1,Psalms 1:1,18,pestilentiæ,,,,Clementine,VUL
19,Psalms,1,1,Psalms 1:1,19,non,,,,Clementine,VUL
19,Psalms,1,1,Psalms 1:1,20,sedit,,,,Clementine,VUL
19,Psalms,1,1,Psalms 1:1,21,;,,,,Clementine,VUL
19,Psalms,1,2,Psalms 1:2,1,sed,,,,Clementine,VUL
19,Psalms,1,2,Psalms 1:2,2,in,,,,Clementine,VUL
19,Psalms,1,2,Psalms 1:2,3,lege,,,,Clementine,VUL
19,Psalms,1,2,Psalms 1:2,4,Domini,,,,Clementine,VUL
19,Psalms,1,2,Psalms 1:2,5,voluntas,,,,Clementine,VUL
19,Psalms,1,2,Psalms 1:2,6,"ejus,",,,,Clementine,VUL
19,Psalms,1,2,Psalms 1:2,7,et,,,,Clementine,VUL
19,Psalms,1,2,Psalms 1:2,8,in,,,,Clementine,VUL
19,Psalms,1,2,Psalms 1:2,9,lege,,,,Clementine,VUL
19,Psalms,1,2,Psalms 1:2,10,ejus,,,,Clementine,VUL
19,Psalms,1,2,Psalms 1:2,11,meditabitur,,,,Clementine,VUL
19,Psalms,1,2,Psalms 1:2,12,die,,,,Clementine,VUL
19,Psalms,1,2,Psalms 1:2,13,ac,,,,Clementine,VUL
19,Psalms,1,2,Psalms 1:2,14,nocte.,,,,Clementine,VUL
19,Psalms,1,3,Psalms 1:3,1,Et,,,,Clementine,VUL
19,Psalms,1,3,Psalms 1:3,2,erit,,,,Clementine,VUL
19,Psalms,1,3,Psalms 1:3,3,tamquam,,,,Clementine,VUL
19,Psalms,1,3,Psalms 1:3,4,lignum,,,,Clementine,VUL
19,Psalms,1,3,Psalms 1:3,5,quod,,,,Clementine,VUL
19,Psalms,1,3,Psalms 1:3,6,plantatum,,,,Clementine,VUL
19,Psalms,1,3,Psalms 1:3,7,est,,,,Clementine,VUL
19,Psalms,1,3,Psalms 1:3,8,secus,,,,Clementine,VUL
19,Psalms,1,3,Psalms 1:3,9,decursus,,,,Clementine,VUL
19,Psalms,1,3,Psalms 1:3,10,"aquarum,",,,,Clementine,VUL
19,Psalms,1,3,Psalms 1:3,11,quod,,,,Clementine,VUL
19,Psalms,1,3,Psalms 1:3,12,fructum,,,,Clementine,VUL
19,Psalms,1,3,Psalms 1:3,13,suum,,,,Clementine,VUL
19,Psalms,1,3,Psalms 1:3,14,dabit,,,,Clementine,VUL
19,Psalms,1,3,Psalms 1:3,15,in,,,,Clementine,VUL
19,Psalms,1,3,Psalms 1:3,16,tempore,,,,Clementine,VUL
19,Psalms,1,3,Psalms 1:3,17,suo,,,,Clementine,VUL
19,Psalms,1,3,Psalms 1:3,18,:,,,,Clementine,VUL
