book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
67,Revelation,1,1,Revelation 1:1,1,Apocalypsis,,,,Clementine,VUL
67,Revelation,1,1,Revelation 1:1,2,Jesu,,,,Clementine,VUL
67,Revelation,1,1,Revelation 1:1,3,"Christi,",,,,Clementine,VUL
67,Revelation,1,1,Revelation 1:1,4,quam,,,,Clementine,VUL
67,Revelation,1,1,Revelation 1:1,5,dedit,,,,Clementine,VUL
67,Revelation,1,1,Revelation 1:1,6,illi,,,,Clementine,VUL
67,Revelation,1,1,Revelation 1:1,7,Deus,,,,Clementine,VUL
67,Revelation,1,1,Revelation 1:1,8,palam,,,,Clementine,VUL
67,Revelation,1,1,Revelation 1:1,9,facere,,,,Clementine,VUL
67,Revelation,1,1,Revelation 1:1,10,servis,,,,Clementine,VUL
67,Revelation,1,1,Revelation 1:1,11,"suis,",,,,Clementine,VUL
67,Revelation,1,1,Revelation 1:1,12,quæ,,,,Clementine,VUL
67,Revelation,1,1,Revelation 1:1,13,oportet,,,,Clementine,VUL
67,Revelation,1,1,Revelation 1:1,14,fieri,,,,Clementine,VUL
67,Revelation,1,1,Revelation 1:1,15,cito,,,,Clementine,VUL
67,Revelation,1,1,Revelation 1:1,16,:,,,,Clementine,VUL
67,Revelation,1,1,Revelation 1:1,17,et,,,,Clementine,VUL
67,Revelation,1,1,Revelation 1:1,18,"significavit,",,,,Clementine,VUL
67,Revelation,1,1,Revelation 1:1,19,mittens,,,,Clementine,VUL
67,Revelation,1,1,Revelation 1:1,20,per,,,,Clementine,VUL
67,Revelation,1,1,Revelation 1:1,21,angelum,,,,Clementine,VUL
67,Revelation,1,1,Revelation 1:1,22,suum,,,,Clementine,VUL
67,Revelation,1,1,Revelation 1:1,23,servo,,,,Clementine,VUL
67,Revelation,1,1,Revelation 1:1,24,suo,,,,Clementine,VUL
67,Revelation,1,1,Revelation 1:1,25,"Joanni,",,,,Clementine,VUL
67,Revelation,1,2,Revelation 1:2,1,qui,,,,Clementine,VUL
67,Revelation,1,2,Revelation 1:2,2,testimonium,,,,Clementine,VUL
67,Revelation,1,2,Revelation 1:2,3,perhibuit,,,,Clementine,VUL
67,Revelation,1,2,Revelation 1:2,4,verbo,,,,Clementine,VUL
67,Revelation,1,2,Revelation 1:2,5,"Dei,",,,,Clementine,VUL
67,Revelation,1,2,Revelation 1:2,6,et,,,,Clementine,VUL
67,Revelation,1,2,Revelation 1:2,7,testimonium,,,,Clementine,VUL
67,Revelation,1,2,Revelation 1:2,8,Jesu,,,,Clementine,VUL
67,Revelation,1,2,Revelation 1:2,9,"Christi,",,,,Clementine,VUL
67,Revelation,1,2,Revelation 1:2,10,quæcumque,,,,Clementine,VUL
67,Revelation,1,2,Revelation 1:2,11,vidit.,,,,Clementine,VUL
67,Revelation,1,3,Revelation 1:3,1,Beatus,,,,Clementine,VUL
67,Revelation,1,3,Revelation 1:3,2,qui,,,,Clementine,VUL
67,Revelation,1,3,Revelation 1:3,3,"legit,",,,,Clementine,VUL
67,Revelation,1,3,Revelation 1:3,4,et,,,,Clementine,VUL
67,Revelation,1,3,Revelation 1:3,5,audit,,,,Clementine,VUL
