book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
8,Ruth,1,1,Ruth 1:1,1,In,,,,Clementine,VUL
8,Ruth,1,1,Ruth 1:1,2,diebus,,,,Clementine,VUL
8,Ruth,1,1,Ruth 1:1,3,unius,,,,Clementine,VUL
8,Ruth,1,1,Ruth 1:1,4,"judicis,",,,,Clementine,VUL
8,Ruth,1,1,Ruth 1:1,5,quando,,,,Clementine,VUL
8,Ruth,1,1,Ruth 1:1,6,judices,,,,Clementine,VUL
8,Ruth,1,1,Ruth 1:1,7,"præerant,",,,,Clementine,VUL
8,Ruth,1,1,Ruth 1:1,8,facta,,,,Clementine,VUL
8,Ruth,1,1,Ruth 1:1,9,est,,,,Clementine,VUL
8,Ruth,1,1,Ruth 1:1,10,fames,,,,Clementine,VUL
8,Ruth,1,1,Ruth 1:1,11,in,,,,Clementine,VUL
8,Ruth,1,1,Ruth 1:1,12,terra.,,,,Clementine,VUL
8,Ruth,1,1,Ruth 1:1,13,Abiitque,,,,Clementine,VUL
8,Ruth,1,1,Ruth 1:1,14,homo,,,,Clementine,VUL
8,Ruth,1,1,Ruth 1:1,15,de,,,,Clementine,VUL
8,Ruth,1,1,Ruth 1:1,16,Bethlehem,,,,Clementine,VUL
8,Ruth,1,1,Ruth 1:1,17,"Juda,",,,,Clementine,VUL
8,Ruth,1,1,Ruth 1:1,18,ut,,,,Clementine,VUL
8,Ruth,1,1,Ruth 1:1,19,peregrinaretur,,,,Clementine,VUL
8,Ruth,1,1,Ruth 1:1,20,in,,,,Clementine,VUL
8,Ruth,1,1,Ruth 1:1,21,regione,,,,Clementine,VUL
8,Ruth,1,1,Ruth 1:1,22,Moabitide,,,,Clementine,VUL
8,Ruth,1,1,Ruth 1:1,23,cum,,,,Clementine,VUL
8,Ruth,1,1,Ruth 1:1,24,uxore,,,,Clementine,VUL
8,Ruth,1,1,Ruth 1:1,25,sua,,,,Clementine,VUL
8,Ruth,1,1,Ruth 1:1,26,ac,,,,Clementine,VUL
8,Ruth,1,1,Ruth 1:1,27,duobus,,,,Clementine,VUL
8,Ruth,1,1,Ruth 1:1,28,liberis.,,,,Clementine,VUL
8,Ruth,1,2,Ruth 1:2,1,Ipse,,,,Clementine,VUL
8,Ruth,1,2,Ruth 1:2,2,vocabatur,,,,Clementine,VUL
8,Ruth,1,2,Ruth 1:2,3,"Elimelech,",,,,Clementine,VUL
8,Ruth,1,2,Ruth 1:2,4,et,,,,Clementine,VUL
8,Ruth,1,2,Ruth 1:2,5,uxor,,,,Clementine,VUL
8,Ruth,1,2,Ruth 1:2,6,ejus,,,,Clementine,VUL
8,Ruth,1,2,Ruth 1:2,7,Noëmi,,,,Clementine,VUL
8,Ruth,1,2,Ruth 1:2,8,:,,,,Clementine,VUL
8,Ruth,1,2,Ruth 1:2,9,et,,,,Clementine,VUL
8,Ruth,1,2,Ruth 1:2,10,duo,,,,Clementine,VUL
8,Ruth,1,2,Ruth 1:2,11,"filii,",,,,Clementine,VUL
8,Ruth,1,2,Ruth 1:2,12,alter,,,,Clementine,VUL
8,Ruth,1,2,Ruth 1:2,13,"Mahalon,",,,,Clementine,VUL
8,Ruth,1,2,Ruth 1:2,14,et,,,,Clementine,VUL
8,Ruth,1,2,Ruth 1:2,15,alter,,,,Clementine,VUL
8,Ruth,1,2,Ruth 1:2,16,"Chelion,",,,,Clementine,VUL
8,Ruth,1,2,Ruth 1:2,17,Ephrathæi,,,,Clementine,VUL
8,Ruth,1,2,Ruth 1:2,18,de,,,,Clementine,VUL
