book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
22,Song of Songs,1,1,Song of Songs 1:1,1,Osculetur,,,,Clementine,VUL
22,Song of Songs,1,1,Song of Songs 1:1,2,me,,,,Clementine,VUL
22,Song of Songs,1,1,Song of Songs 1:1,3,osculo,,,,Clementine,VUL
22,Song of Songs,1,1,Song of Songs 1:1,4,oris,,,,Clementine,VUL
22,Song of Songs,1,1,Song of Songs 1:1,5,sui,,,,Clementine,VUL
22,Song of Songs,1,1,Song of Songs 1:1,6,;,,,,Clementine,VUL
22,Song of Songs,1,1,Song of Songs 1:1,7,quia,,,,Clementine,VUL
22,Song of Songs,1,1,Song of Songs 1:1,8,meliora,,,,Clementine,VUL
22,Song of Songs,1,1,Song of Songs 1:1,9,sunt,,,,Clementine,VUL
22,Song of Songs,1,1,Song of Songs 1:1,10,ubera,,,,Clementine,VUL
22,Song of Songs,1,1,Song of Songs 1:1,11,tua,,,,Clementine,VUL
22,Song of Songs,1,1,Song of Songs 1:1,12,"vino,",,,,Clementine,VUL
22,Song of Songs,1,2,Song of Songs 1:2,1,fragrantia,,,,Clementine,VUL
22,Song of Songs,1,2,Song of Songs 1:2,2,unguentis,,,,Clementine,VUL
22,Song of Songs,1,2,Song of Songs 1:2,3,optimis.,,,,Clementine,VUL
22,Song of Songs,1,2,Song of Songs 1:2,4,Oleum,,,,Clementine,VUL
22,Song of Songs,1,2,Song of Songs 1:2,5,effusum,,,,Clementine,VUL
22,Song of Songs,1,2,Song of Songs 1:2,6,nomen,,,,Clementine,VUL
22,Song of Songs,1,2,Song of Songs 1:2,7,tuum,,,,Clementine,VUL
22,Song of Songs,1,2,Song of Songs 1:2,8,;,,,,Clementine,VUL
22,Song of Songs,1,2,Song of Songs 1:2,9,ideo,,,,Clementine,VUL
22,Song of Songs,1,2,Song of Songs 1:2,10,adolescentulæ,,,,Clementine,VUL
22,Song of Songs,1,2,Song of Songs 1:2,11,dilexerunt,,,,Clementine,VUL
22,Song of Songs,1,2,Song of Songs 1:2,12,te.,,,,Clementine,VUL
22,Song of Songs,1,3,Song of Songs 1:3,1,Trahe,,,,Clementine,VUL
22,Song of Songs,1,3,Song of Songs 1:3,2,"me,",,,,Clementine,VUL
22,Song of Songs,1,3,Song of Songs 1:3,3,post,,,,Clementine,VUL
22,Song of Songs,1,3,Song of Songs 1:3,4,te,,,,Clementine,VUL
22,Song of Songs,1,3,Song of Songs 1:3,5,curremus,,,,Clementine,VUL
22,Song of Songs,1,3,Song of Songs 1:3,6,in,,,,Clementine,VUL
22,Song of Songs,1,3,Song of Songs 1:3,7,odorem,,,,Clementine,VUL
22,Song of Songs,1,3,Song of Songs 1:3,8,unguentorum,,,,Clementine,VUL
22,Song of Songs,1,3,Song of Songs 1:3,9,tuorum.,,,,Clementine,VUL
22,Song of Songs,1,3,Song of Songs 1:3,10,Introduxit,,,,Clementine,VUL
22,Song of Songs,1,3,Song of Songs 1:3,11,me,,,,Clementine,VUL
22,Song of Songs,1,3,Song of Songs 1:3,12,rex,,,,Clementine,VUL
