book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
57,Titus,1,1,Titus 1:1,1,Paulus,,,,Clementine,VUL
57,Titus,1,1,Titus 1:1,2,servus,,,,Clementine,VUL
57,Titus,1,1,Titus 1:1,3,"Dei,",,,,Clementine,VUL
57,Titus,1,1,Titus 1:1,4,Apostolus,,,,Clementine,VUL
57,Titus,1,1,Titus 1:1,5,autem,,,,Clementine,VUL
57,Titus,1,1,Titus 1:1,6,Jesu,,,,Clementine,VUL
57,Titus,1,1,Titus 1:1,7,Christi,,,,Clementine,VUL
57,Titus,1,1,Titus 1:1,8,secundum,,,,Clementine,VUL
57,Titus,1,1,Titus 1:1,9,fidem,,,,Clementine,VUL
57,Titus,1,1,Titus 1:1,10,electorum,,,,Clementine,VUL
57,Titus,1,1,Titus 1:1,11,"Dei,",,,,Clementine,VUL
57,Titus,1,1,Titus 1:1,12,et,,,,Clementine,VUL
57,Titus,1,1,Titus 1:1,13,agnitionem,,,,Clementine,VUL
57,Titus,1,1,Titus 1:1,14,"veritatis,",,,,Clementine,VUL
57,Titus,1,1,Titus 1:1,15,quæ,,,,Clementine,VUL
57,Titus,1,1,Titus 1:1,16,secundum,,,,Clementine,VUL
57,Titus,1,1,Titus 1:1,17,pietatem,,,,Clementine,VUL
57,Titus,1,1,Titus 1:1,18,est,,,,Clementine,VUL
57,Titus,1,2,Titus 1:2,1,in,,,,Clementine,VUL
57,Titus,1,2,Titus 1:2,2,spem,,,,Clementine,VUL
57,Titus,1,2,Titus 1:2,3,vitæ,,,,Clementine,VUL
57,Titus,1,2,Titus 1:2,4,"æternæ,",,,,Clementine,VUL
57,Titus,1,2,Titus 1:2,5,quam,,,,Clementine,VUL
57,Titus,1,2,Titus 1:2,6,promisit,,,,Clementine,VUL
57,Titus,1,2,Titus 1:2,7,qui,,,,Clementine,VUL
57,Titus,1,2,Titus 1:2,8,non,,,,Clementine,VUL
57,Titus,1,2,Titus 1:2,9,"mentitur,",,,,Clementine,VUL
57,Titus,1,2,Titus 1:2,10,"Deus,",,,,Clementine,VUL
57,Titus,1,2,Titus 1:2,11,ante,,,,Clementine,VUL
57,Titus,1,2,Titus 1:2,12,tempora,,,,Clementine,VUL
57,Titus,1,2,Titus 1:2,13,sæcularia,,,,Clementine,VUL
57,Titus,1,2,Titus 1:2,14,:,,,,Clementine,VUL
57,Titus,1,3,Titus 1:3,1,manifestavit,,,,Clementine,VUL
57,Titus,1,3,Titus 1:3,2,autem,,,,Clementine,VUL
57,Titus,1,3,Titus 1:3,3,temporibus,,,,Clementine,VUL
57,Titus,1,3,Titus 1:3,4,suis,,,,Clementine,VUL
57,Titus,1,3,Titus 1:3,5,verbum,,,,Clementine,VUL
57,Titus,1,3,Titus 1:3,6,suum,,,,Clementine,VUL
57,Titus,1,3,Titus 1:3,7,in,,,,Clementine,VUL
57,Titus,1,3,Titus 1:3,8,"prædicatione,",,,,Clementine,VUL
57,Titus,1,3,Titus 1:3,9,quæ,,,,Clementine,VUL
57,Titus,1,3,Titus 1:3,10,credita,,,,Clementine,VUL
57,Titus,1,3,Titus 1:3,11,est,,,,Clementine,VUL
57,Titus,1,3,Titus 1:3,12,mihi,,,,Clementine,VUL
57,Titus,1,3,Titus 1:3,13,secundum,,,,Clementine,VUL
57,Titus,1,3,Titus 1:3,14,præceptum,,,,Clementine,VUL
57,Titus,1,3,Titus 1:3,15,Salvatoris,,,,Clementine,VUL
57,Titus,1,3,Titus 1:3,16,nostri,,,,Clementine,VUL
57,Titus,1,3,Titus 1:3,17,Dei,,,,Clementine,VUL
57,Titus,1,3,Titus 1:3,18,:,,,,Clementine,VUL
57,Titus,1,4,Titus 1:4,1,Tito,,,,Clementine,VUL
57,Titus,1,4,Titus 1:4,2,dilecto,,,,Clementine,VUL
57,Titus,1,4,Titus 1:4,3,filio,,,,Clementine,VUL
57,Titus,1,4,Titus 1:4,4,secundum,,,,Clementine,VUL
57,Titus,1,4,Titus 1:4,5,communem,,,,Clementine,VUL
57,Titus,1,4,Titus 1:4,6,"fidem,",,,,Clementine,VUL
57,Titus,1,4,Titus 1:4,7,"gratia,",,,,Clementine,VUL
57,Titus,1,4,Titus 1:4,8,et,,,,Clementine,VUL
57,Titus,1,4,Titus 1:4,9,pax,,,,Clementine,VUL
57,Titus,1,4,Titus 1:4,10,a,,,,Clementine,VUL
57,Titus,1,4,Titus 1:4,11,Deo,,,,Clementine,VUL
57,Titus,1,4,Titus 1:4,12,"Patre,",,,,Clementine,VUL
57,Titus,1,4,Titus 1:4,13,et,,,,Clementine,VUL
57,Titus,1,4,Titus 1:4,14,Christo,,,,Clementine,VUL
57,Titus,1,4,Titus 1:4,15,Jesu,,,,Clementine,VUL
57,Titus,1,4,Titus 1:4,16,Salvatore,,,,Clementine,VUL
57,Titus,1,4,Titus 1:4,17,nostro.,,,,Clementine,VUL
57,Titus,1,5,Titus 1:5,1,Hujus,,,,Clementine,VUL
57,Titus,1,5,Titus 1:5,2,rei,,,,Clementine,VUL
57,Titus,1,5,Titus 1:5,3,gratia,,,,Clementine,VUL
57,Titus,1,5,Titus 1:5,4,reliqui,,,,Clementine,VUL
57,Titus,1,5,Titus 1:5,5,te,,,,Clementine,VUL
57,Titus,1,5,Titus 1:5,6,"Cretæ,",,,,Clementine,VUL
57,Titus,1,5,Titus 1:5,7,ut,,,,Clementine,VUL
57,Titus,1,5,Titus 1:5,8,ea,,,,Clementine,VUL
57,Titus,1,5,Titus 1:5,9,quæ,,,,Clementine,VUL
57,Titus,1,5,Titus 1:5,10,"desunt,",,,,Clementine,VUL
57,Titus,1,5,Titus 1:5,11,"corrigas,",,,,Clementine,VUL
57,Titus,1,5,Titus 1:5,12,et,,,,Clementine,VUL
57,Titus,1,5,Titus 1:5,13,constituas,,,,Clementine,VUL
57,Titus,1,5,Titus 1:5,14,per,,,,Clementine,VUL
57,Titus,1,5,Titus 1:5,15,civitates,,,,Clementine,VUL
57,Titus,1,5,Titus 1:5,16,"presbyteros,",,,,Clementine,VUL
57,Titus,1,5,Titus 1:5,17,sicut,,,,Clementine,VUL
57,Titus,1,5,Titus 1:5,18,et,,,,Clementine,VUL
57,Titus,1,5,Titus 1:5,19,ego,,,,Clementine,VUL
57,Titus,1,5,Titus 1:5,20,disposui,,,,Clementine,VUL
57,Titus,1,5,Titus 1:5,21,"tibi,",,,,Clementine,VUL
57,Titus,1,6,Titus 1:6,1,si,,,,Clementine,VUL
57,Titus,1,6,Titus 1:6,2,quis,,,,Clementine,VUL
57,Titus,1,6,Titus 1:6,3,sine,,,,Clementine,VUL
57,Titus,1,6,Titus 1:6,4,crimine,,,,Clementine,VUL
57,Titus,1,6,Titus 1:6,5,"est,",,,,Clementine,VUL
57,Titus,1,6,Titus 1:6,6,unius,,,,Clementine,VUL
57,Titus,1,6,Titus 1:6,7,uxoris,,,,Clementine,VUL
57,Titus,1,6,Titus 1:6,8,"vir,",,,,Clementine,VUL
57,Titus,1,6,Titus 1:6,9,filios,,,,Clementine,VUL
57,Titus,1,6,Titus 1:6,10,habens,,,,Clementine,VUL
57,Titus,1,6,Titus 1:6,11,"fideles,",,,,Clementine,VUL
