book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
38,Zechariah,1,1,Zechariah 1:1,1,In,,,,Clementine,VUL
38,Zechariah,1,1,Zechariah 1:1,2,mense,,,,Clementine,VUL
38,Zechariah,1,1,Zechariah 1:1,3,"octavo,",,,,Clementine,VUL
38,Zechariah,1,1,Zechariah 1:1,4,in,,,,Clementine,VUL
38,Zechariah,1,1,Zechariah 1:1,5,anno,,,,Clementine,VUL
38,Zechariah,1,1,Zechariah 1:1,6,secundo,,,,Clementine,VUL
38,Zechariah,1,1,Zechariah 1:1,7,Darii,,,,Clementine,VUL
38,Zechariah,1,1,Zechariah 1:1,8,"regis,",,,,Clementine,VUL
38,Zechariah,1,1,Zechariah 1:1,9,factum,,,,Clementine,VUL
38,Zechariah,1,1,Zechariah 1:1,10,est,,,,Clementine,VUL
38,Zechariah,1,1,Zechariah 1:1,11,verbum,,,,Clementine,VUL
38,Zechariah,1,1,Zechariah 1:1,12,Domini,,,,Clementine,VUL
38,Zechariah,1,1,Zechariah 1:1,13,ad,,,,Clementine,VUL
38,Zechariah,1,1,Zechariah 1:1,14,Zachariam,,,,Clementine,VUL
38,Zechariah,1,1,Zechariah 1:1,15,filium,,,,Clementine,VUL
38,Zechariah,1,1,Zechariah 1:1,16,Barachiæ,,,,Clementine,VUL
38,Zechariah,1,1,Zechariah 1:1,17,filii,,,,Clementine,VUL
38,Zechariah,1,1,Zechariah 1:1,18,Addo,,,,Clementine,VUL
38,Zechariah,1,1,Zechariah 1:1,19,"prophetam,",,,,Clementine,VUL
38,Zechariah,1,1,Zechariah 1:1,20,dicens,,,,Clementine,VUL
38,Zechariah,1,1,Zechariah 1:1,21,:,,,,Clementine,VUL
38,Zechariah,1,2,Zechariah 1:2,1,Iratus,,,,Clementine,VUL
38,Zechariah,1,2,Zechariah 1:2,2,est,,,,Clementine,VUL
38,Zechariah,1,2,Zechariah 1:2,3,Dominus,,,,Clementine,VUL
38,Zechariah,1,2,Zechariah 1:2,4,super,,,,Clementine,VUL
38,Zechariah,1,2,Zechariah 1:2,5,patres,,,,Clementine,VUL
38,Zechariah,1,2,Zechariah 1:2,6,vestros,,,,Clementine,VUL
38,Zechariah,1,2,Zechariah 1:2,7,iracundia.,,,,Clementine,VUL
38,Zechariah,1,3,Zechariah 1:3,1,Et,,,,Clementine,VUL
38,Zechariah,1,3,Zechariah 1:3,2,dices,,,,Clementine,VUL
38,Zechariah,1,3,Zechariah 1:3,3,ad,,,,Clementine,VUL
38,Zechariah,1,3,Zechariah 1:3,4,eos,,,,Clementine,VUL
38,Zechariah,1,3,Zechariah 1:3,5,:,,,,Clementine,VUL
38,Zechariah,1,3,Zechariah 1:3,6,Hæc,,,,Clementine,VUL
38,Zechariah,1,3,Zechariah 1:3,7,dicit,,,,Clementine,VUL
38,Zechariah,1,3,Zechariah 1:3,8,Dominus,,,,Clementine,VUL
38,Zechariah,1,3,Zechariah 1:3,9,exercituum,,,,Clementine,VUL
38,Zechariah,1,3,Zechariah 1:3,10,:,,,,Clementine,VUL
38,Zechariah,1,3,Zechariah 1:3,11,Convertimini,,,,Clementine,VUL
38,Zechariah,1,3,Zechariah 1:3,12,ad,,,,Clementine,VUL
38,Zechariah,1,3,Zechariah 1:3,13,"me,",,,,Clementine,VUL
38,Zechariah,1,3,Zechariah 1:3,14,ait,,,,Clementine,VUL
38,Zechariah,1,3,Zechariah 1:3,15,Dominus,,,,Clementine,VUL
38,Zechariah,1,3,Zechariah 1:3,16,"exercituum,",,,,Clementine,VUL
38,Zechariah,1,3,Zechariah 1:3,17,et,,,,Clementine,VUL
38,Zechariah,1,3,Zechariah 1:3,18,convertar,,,,Clementine,VUL
38,Zechariah,1,3,Zechariah 1:3,19,ad,,,,Clementine,VUL
38,Zechariah,1,3,Zechariah 1:3,20,"vos,",,,,Clementine,VUL
38,Zechariah,1,3,Zechariah 1:3,21,dicit,,,,Clementine,VUL
38,Zechariah,1,3,Zechariah 1:3,22,Dominus,,,,Clementine,VUL
38,Zechariah,1,3,Zechariah 1:3,23,exercituum.,,,,Clementine,VUL
38,Zechariah,1,4,Zechariah 1:4,1,Ne,,,,Clementine,VUL
38,Zechariah,1,4,Zechariah 1:4,2,sitis,,,,Clementine,VUL
38,Zechariah,1,4,Zechariah 1:4,3,sicut,,,,Clementine,VUL
38,Zechariah,1,4,Zechariah 1:4,4,patres,,,,Clementine,VUL
38,Zechariah,1,4,Zechariah 1:4,5,"vestri,",,,,Clementine,VUL
38,Zechariah,1,4,Zechariah 1:4,6,ad,,,,Clementine,VUL
38,Zechariah,1,4,Zechariah 1:4,7,quos,,,,Clementine,VUL
38,Zechariah,1,4,Zechariah 1:4,8,clamabant,,,,Clementine,VUL
38,Zechariah,1,4,Zechariah 1:4,9,prophetæ,,,,Clementine,VUL
38,Zechariah,1,4,Zechariah 1:4,10,"priores,",,,,Clementine,VUL
38,Zechariah,1,4,Zechariah 1:4,11,dicentes,,,,Clementine,VUL
38,Zechariah,1,4,Zechariah 1:4,12,:,,,,Clementine,VUL
38,Zechariah,1,4,Zechariah 1:4,13,Hæc,,,,Clementine,VUL
38,Zechariah,1,4,Zechariah 1:4,14,dicit,,,,Clementine,VUL
38,Zechariah,1,4,Zechariah 1:4,15,Dominus,,,,Clementine,VUL
38,Zechariah,1,4,Zechariah 1:4,16,exercituum,,,,Clementine,VUL
38,Zechariah,1,4,Zechariah 1:4,17,:,,,,Clementine,VUL
38,Zechariah,1,4,Zechariah 1:4,18,Convertimini,,,,Clementine,VUL
38,Zechariah,1,4,Zechariah 1:4,19,de,,,,Clementine,VUL
38,Zechariah,1,4,Zechariah 1:4,20,viis,,,,Clementine,VUL
38,Zechariah,1,4,Zechariah 1:4,21,vestris,,,,Clementine,VUL
38,Zechariah,1,4,Zechariah 1:4,22,"malis,",,,,Clementine,VUL
38,Zechariah,1,4,Zechariah 1:4,23,et,,,,Clementine,VUL
38,Zechariah,1,4,Zechariah 1:4,24,de,,,,Clementine,VUL
38,Zechariah,1,4,Zechariah 1:4,25,cogitationibus,,,,Clementine,VUL
38,Zechariah,1,4,Zechariah 1:4,26,vestris,,,,Clementine,VUL
38,Zechariah,1,4,Zechariah 1:4,27,pessimis,,,,Clementine,VUL
38,Zechariah,1,4,Zechariah 1:4,28,:,,,,Clementine,VUL
38,Zechariah,1,4,Zechariah 1:4,29,et,,,,Clementine,VUL
38,Zechariah,1,4,Zechariah 1:4,30,non,,,,Clementine,VUL
38,Zechariah,1,4,Zechariah 1:4,31,"audierunt,",,,,Clementine,VUL
38,Zechariah,1,4,Zechariah 1:4,32,neque,,,,Clementine,VUL
38,Zechariah,1,4,Zechariah 1:4,33,attenderunt,,,,Clementine,VUL
38,Zechariah,1,4,Zechariah 1:4,34,ad,,,,Clementine,VUL
38,Zechariah,1,4,Zechariah 1:4,35,"me,",,,,Clementine,VUL
38,Zechariah,1,4,Zechariah 1:4,36,dicit,,,,Clementine,VUL
38,Zechariah,1,4,Zechariah 1:4,37,Dominus.,,,,Clementine,VUL
38,Zechariah,1,5,Zechariah 1:5,1,Patres,,,,Clementine,VUL
38,Zechariah,1,5,Zechariah 1:5,2,"vestri,",,,,Clementine,VUL
38,Zechariah,1,5,Zechariah 1:5,3,ubi,,,,Clementine,VUL
38,Zechariah,1,5,Zechariah 1:5,4,sunt,,,,Clementine,VUL
38,Zechariah,1,5,Zechariah 1:5,5,?,,,,Clementine,VUL
38,Zechariah,1,5,Zechariah 1:5,6,et,,,,Clementine,VUL
38,Zechariah,1,5,Zechariah 1:5,7,prophetæ,,,,Clementine,VUL
38,Zechariah,1,5,Zechariah 1:5,8,numquid,,,,Clementine,VUL
38,Zechariah,1,5,Zechariah 1:5,9,in,,,,Clementine,VUL
38,Zechariah,1,5,Zechariah 1:5,10,sempiternum,,,,Clementine,VUL
38,Zechariah,1,5,Zechariah 1:5,11,vivent,,,,Clementine,VUL
38,Zechariah,1,5,Zechariah 1:5,12,?,,,,Clementine,VUL
38,Zechariah,1,6,Zechariah 1:6,1,Verumtamen,,,,Clementine,VUL
38,Zechariah,1,6,Zechariah 1:6,2,verba,,,,Clementine,VUL
38,Zechariah,1,6,Zechariah 1:6,3,"mea,",,,,Clementine,VUL
38,Zechariah,1,6,Zechariah 1:6,4,et,,,,Clementine,VUL
38,Zechariah,1,6,Zechariah 1:6,5,legitima,,,,Clementine,VUL
38,Zechariah,1,6,Zechariah 1:6,6,"mea,",,,,Clementine,VUL
38,Zechariah,1,6,Zechariah 1:6,7,quæ,,,,Clementine,VUL
38,Zechariah,1,6,Zechariah 1:6,8,mandavi,,,,Clementine,VUL
38,Zechariah,1,6,Zechariah 1:6,9,servis,,,,Clementine,VUL
38,Zechariah,1,6,Zechariah 1:6,10,meis,,,,Clementine,VUL
38,Zechariah,1,6,Zechariah 1:6,11,"prophetis,",,,,Clementine,VUL
38,Zechariah,1,6,Zechariah 1:6,12,numquid,,,,Clementine,VUL
38,Zechariah,1,6,Zechariah 1:6,13,non,,,,Clementine,VUL
38,Zechariah,1,6,Zechariah 1:6,14,comprehenderunt,,,,Clementine,VUL
38,Zechariah,1,6,Zechariah 1:6,15,patres,,,,Clementine,VUL
38,Zechariah,1,6,Zechariah 1:6,16,"vestros,",,,,Clementine,VUL
38,Zechariah,1,6,Zechariah 1:6,17,et,,,,Clementine,VUL
38,Zechariah,1,6,Zechariah 1:6,18,conversi,,,,Clementine,VUL
38,Zechariah,1,6,Zechariah 1:6,19,"sunt,",,,,Clementine,VUL
38,Zechariah,1,6,Zechariah 1:6,20,et,,,,Clementine,VUL
38,Zechariah,1,6,Zechariah 1:6,21,dixerunt,,,,Clementine,VUL
38,Zechariah,1,6,Zechariah 1:6,22,:,,,,Clementine,VUL
38,Zechariah,1,6,Zechariah 1:6,23,Sicut,,,,Clementine,VUL
38,Zechariah,1,6,Zechariah 1:6,24,cogitavit,,,,Clementine,VUL
38,Zechariah,1,6,Zechariah 1:6,25,Dominus,,,,Clementine,VUL
38,Zechariah,1,6,Zechariah 1:6,26,exercituum,,,,Clementine,VUL
38,Zechariah,1,6,Zechariah 1:6,27,facere,,,,Clementine,VUL
38,Zechariah,1,6,Zechariah 1:6,28,nobis,,,,Clementine,VUL
38,Zechariah,1,6,Zechariah 1:6,29,secundum,,,,Clementine,VUL
38,Zechariah,1,6,Zechariah 1:6,30,vias,,,,Clementine,VUL
38,Zechariah,1,6,Zechariah 1:6,31,"nostras,",,,,Clementine,VUL
38,Zechariah,1,6,Zechariah 1:6,32,et,,,,Clementine,VUL
38,Zechariah,1,6,Zechariah 1:6,33,secundum,,,,Clementine,VUL
38,Zechariah,1,6,Zechariah 1:6,34,adinventiones,,,,Clementine,VUL
38,Zechariah,1,6,Zechariah 1:6,35,"nostras,",,,,Clementine,VUL
38,Zechariah,1,6,Zechariah 1:6,36,fecit,,,,Clementine,VUL
38,Zechariah,1,6,Zechariah 1:6,37,nobis,,,,Clementine,VUL
38,Zechariah,1,6,Zechariah 1:6,38,?,,,,Clementine,VUL
38,Zechariah,1,7,Zechariah 1:7,1,In,,,,Clementine,VUL
38,Zechariah,1,7,Zechariah 1:7,2,die,,,,Clementine,VUL
38,Zechariah,1,7,Zechariah 1:7,3,vigesima,,,,Clementine,VUL
38,Zechariah,1,7,Zechariah 1:7,4,et,,,,Clementine,VUL
38,Zechariah,1,7,Zechariah 1:7,5,quarta,,,,Clementine,VUL
38,Zechariah,1,7,Zechariah 1:7,6,undecimi,,,,Clementine,VUL
38,Zechariah,1,7,Zechariah 1:7,7,mensis,,,,Clementine,VUL
38,Zechariah,1,7,Zechariah 1:7,8,"Sabath,",,,,Clementine,VUL
38,Zechariah,1,7,Zechariah 1:7,9,in,,,,Clementine,VUL
38,Zechariah,1,7,Zechariah 1:7,10,anno,,,,Clementine,VUL
38,Zechariah,1,7,Zechariah 1:7,11,secundo,,,,Clementine,VUL
38,Zechariah,1,7,Zechariah 1:7,12,"Darii,",,,,Clementine,VUL
38,Zechariah,1,7,Zechariah 1:7,13,factum,,,,Clementine,VUL
38,Zechariah,1,7,Zechariah 1:7,14,est,,,,Clementine,VUL
38,Zechariah,1,7,Zechariah 1:7,15,verbum,,,,Clementine,VUL
38,Zechariah,1,7,Zechariah 1:7,16,Domini,,,,Clementine,VUL
38,Zechariah,1,7,Zechariah 1:7,17,ad,,,,Clementine,VUL
38,Zechariah,1,7,Zechariah 1:7,18,Zachariam,,,,Clementine,VUL
38,Zechariah,1,7,Zechariah 1:7,19,filium,,,,Clementine,VUL
38,Zechariah,1,7,Zechariah 1:7,20,Barachiæ,,,,Clementine,VUL
38,Zechariah,1,7,Zechariah 1:7,21,filii,,,,Clementine,VUL
38,Zechariah,1,7,Zechariah 1:7,22,Addo,,,,Clementine,VUL
38,Zechariah,1,7,Zechariah 1:7,23,"prophetam,",,,,Clementine,VUL
38,Zechariah,1,7,Zechariah 1:7,24,dicens,,,,Clementine,VUL
38,Zechariah,1,7,Zechariah 1:7,25,:,,,,Clementine,VUL
38,Zechariah,1,8,Zechariah 1:8,1,Vidi,,,,Clementine,VUL
38,Zechariah,1,8,Zechariah 1:8,2,per,,,,Clementine,VUL
38,Zechariah,1,8,Zechariah 1:8,3,"noctem,",,,,Clementine,VUL
38,Zechariah,1,8,Zechariah 1:8,4,et,,,,Clementine,VUL
38,Zechariah,1,8,Zechariah 1:8,5,ecce,,,,Clementine,VUL
38,Zechariah,1,8,Zechariah 1:8,6,vir,,,,Clementine,VUL
38,Zechariah,1,8,Zechariah 1:8,7,ascendens,,,,Clementine,VUL
38,Zechariah,1,8,Zechariah 1:8,8,super,,,,Clementine,VUL
38,Zechariah,1,8,Zechariah 1:8,9,equum,,,,Clementine,VUL
38,Zechariah,1,8,Zechariah 1:8,10,"rufum,",,,,Clementine,VUL
38,Zechariah,1,8,Zechariah 1:8,11,et,,,,Clementine,VUL
38,Zechariah,1,8,Zechariah 1:8,12,ipse,,,,Clementine,VUL
38,Zechariah,1,8,Zechariah 1:8,13,stabat,,,,Clementine,VUL
38,Zechariah,1,8,Zechariah 1:8,14,inter,,,,Clementine,VUL
38,Zechariah,1,8,Zechariah 1:8,15,"myrteta,",,,,Clementine,VUL
38,Zechariah,1,8,Zechariah 1:8,16,quæ,,,,Clementine,VUL
38,Zechariah,1,8,Zechariah 1:8,17,erant,,,,Clementine,VUL
38,Zechariah,1,8,Zechariah 1:8,18,in,,,,Clementine,VUL
38,Zechariah,1,8,Zechariah 1:8,19,"profundo,",,,,Clementine,VUL
38,Zechariah,1,8,Zechariah 1:8,20,et,,,,Clementine,VUL
38,Zechariah,1,8,Zechariah 1:8,21,post,,,,Clementine,VUL
38,Zechariah,1,8,Zechariah 1:8,22,eum,,,,Clementine,VUL
38,Zechariah,1,8,Zechariah 1:8,23,equi,,,,Clementine,VUL
38,Zechariah,1,8,Zechariah 1:8,24,"rufi,",,,,Clementine,VUL
38,Zechariah,1,8,Zechariah 1:8,25,"varii,",,,,Clementine,VUL
38,Zechariah,1,8,Zechariah 1:8,26,et,,,,Clementine,VUL
38,Zechariah,1,8,Zechariah 1:8,27,albi.,,,,Clementine,VUL
38,Zechariah,1,9,Zechariah 1:9,1,Et,,,,Clementine,VUL
38,Zechariah,1,9,Zechariah 1:9,2,dixi,,,,Clementine,VUL
38,Zechariah,1,9,Zechariah 1:9,3,:,,,,Clementine,VUL
38,Zechariah,1,9,Zechariah 1:9,4,Quid,,,,Clementine,VUL
38,Zechariah,1,9,Zechariah 1:9,5,sunt,,,,Clementine,VUL
38,Zechariah,1,9,Zechariah 1:9,6,"isti,",,,,Clementine,VUL
38,Zechariah,1,9,Zechariah 1:9,7,domine,,,,Clementine,VUL
38,Zechariah,1,9,Zechariah 1:9,8,mi,,,,Clementine,VUL
38,Zechariah,1,9,Zechariah 1:9,9,?,,,,Clementine,VUL
38,Zechariah,1,9,Zechariah 1:9,10,Et,,,,Clementine,VUL
38,Zechariah,1,9,Zechariah 1:9,11,dixit,,,,Clementine,VUL
38,Zechariah,1,9,Zechariah 1:9,12,ad,,,,Clementine,VUL
38,Zechariah,1,9,Zechariah 1:9,13,me,,,,Clementine,VUL
38,Zechariah,1,9,Zechariah 1:9,14,angelus,,,,Clementine,VUL
38,Zechariah,1,9,Zechariah 1:9,15,qui,,,,Clementine,VUL
38,Zechariah,1,9,Zechariah 1:9,16,loquebatur,,,,Clementine,VUL
38,Zechariah,1,9,Zechariah 1:9,17,in,,,,Clementine,VUL
38,Zechariah,1,9,Zechariah 1:9,18,me,,,,Clementine,VUL
38,Zechariah,1,9,Zechariah 1:9,19,:,,,,Clementine,VUL
38,Zechariah,1,9,Zechariah 1:9,20,Ego,,,,Clementine,VUL
38,Zechariah,1,9,Zechariah 1:9,21,ostendam,,,,Clementine,VUL
38,Zechariah,1,9,Zechariah 1:9,22,tibi,,,,Clementine,VUL
38,Zechariah,1,9,Zechariah 1:9,23,quid,,,,Clementine,VUL
38,Zechariah,1,9,Zechariah 1:9,24,sint,,,,Clementine,VUL
38,Zechariah,1,9,Zechariah 1:9,25,hæc.,,,,Clementine,VUL
38,Zechariah,1,10,Zechariah 1:10,1,Et,,,,Clementine,VUL
38,Zechariah,1,10,Zechariah 1:10,2,respondit,,,,Clementine,VUL
38,Zechariah,1,10,Zechariah 1:10,3,vir,,,,Clementine,VUL
38,Zechariah,1,10,Zechariah 1:10,4,qui,,,,Clementine,VUL
38,Zechariah,1,10,Zechariah 1:10,5,stabat,,,,Clementine,VUL
38,Zechariah,1,10,Zechariah 1:10,6,inter,,,,Clementine,VUL
38,Zechariah,1,10,Zechariah 1:10,7,"myrteta,",,,,Clementine,VUL
38,Zechariah,1,10,Zechariah 1:10,8,et,,,,Clementine,VUL
38,Zechariah,1,10,Zechariah 1:10,9,dixit,,,,Clementine,VUL
38,Zechariah,1,10,Zechariah 1:10,10,:,,,,Clementine,VUL
38,Zechariah,1,10,Zechariah 1:10,11,Isti,,,,Clementine,VUL
38,Zechariah,1,10,Zechariah 1:10,12,sunt,,,,Clementine,VUL
38,Zechariah,1,10,Zechariah 1:10,13,quos,,,,Clementine,VUL
