book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
36,Zephaniah,1,1,Zephaniah 1:1,1,Verbum,,,,Clementine,VUL
36,Zephaniah,1,1,Zephaniah 1:1,2,Domini,,,,Clementine,VUL
36,Zephaniah,1,1,Zephaniah 1:1,3,quod,,,,Clementine,VUL
36,Zephaniah,1,1,Zephaniah 1:1,4,factum,,,,Clementine,VUL
36,Zephaniah,1,1,Zephaniah 1:1,5,est,,,,Clementine,VUL
36,Zephaniah,1,1,Zephaniah 1:1,6,ad,,,,Clementine,VUL
36,Zephaniah,1,1,Zephaniah 1:1,7,"Sophoniam,",,,,Clementine,VUL
36,Zephaniah,1,1,Zephaniah 1:1,8,filium,,,,Clementine,VUL
36,Zephaniah,1,1,Zephaniah 1:1,9,"Chusi,",,,,Clementine,VUL
36,Zephaniah,1,1,Zephaniah 1:1,10,filii,,,,Clementine,VUL
36,Zephaniah,1,1,Zephaniah 1:1,11,"Godoliæ,",,,,Clementine,VUL
36,Zephaniah,1,1,Zephaniah 1:1,12,filii,,,,Clementine,VUL
36,Zephaniah,1,1,Zephaniah 1:1,13,"Amariæ,",,,,Clementine,VUL
36,Zephaniah,1,1,Zephaniah 1:1,14,filii,,,,Clementine,VUL
36,Zephaniah,1,1,Zephaniah 1:1,15,"Ezeciæ,",,,,Clementine,VUL
36,Zephaniah,1,1,Zephaniah 1:1,16,in,,,,Clementine,VUL
36,Zephaniah,1,1,Zephaniah 1:1,17,diebus,,,,Clementine,VUL
36,Zephaniah,1,1,Zephaniah 1:1,18,"Josiæ,",,,,Clementine,VUL
36,Zephaniah,1,1,Zephaniah 1:1,19,filii,,,,Clementine,VUL
36,Zephaniah,1,1,Zephaniah 1:1,20,"Amon,",,,,Clementine,VUL
36,Zephaniah,1,1,Zephaniah 1:1,21,regis,,,,Clementine,VUL
36,Zephaniah,1,1,Zephaniah 1:1,22,Judæ.,,,,Clementine,VUL
36,Zephaniah,1,2,Zephaniah 1:2,1,Congregans,,,,Clementine,VUL
36,Zephaniah,1,2,Zephaniah 1:2,2,congregabo,,,,Clementine,VUL
36,Zephaniah,1,2,Zephaniah 1:2,3,omnia,,,,Clementine,VUL
36,Zephaniah,1,2,Zephaniah 1:2,4,a,,,,Clementine,VUL
36,Zephaniah,1,2,Zephaniah 1:2,5,facie,,,,Clementine,VUL
36,Zephaniah,1,2,Zephaniah 1:2,6,"terræ,",,,,Clementine,VUL
36,Zephaniah,1,2,Zephaniah 1:2,7,dicit,,,,Clementine,VUL
36,Zephaniah,1,2,Zephaniah 1:2,8,Dominus,,,,Clementine,VUL
36,Zephaniah,1,2,Zephaniah 1:2,9,:,,,,Clementine,VUL
36,Zephaniah,1,3,Zephaniah 1:3,1,congregans,,,,Clementine,VUL
36,Zephaniah,1,3,Zephaniah 1:3,2,hominem,,,,Clementine,VUL
36,Zephaniah,1,3,Zephaniah 1:3,3,et,,,,Clementine,VUL
36,Zephaniah,1,3,Zephaniah 1:3,4,"pecus,",,,,Clementine,VUL
36,Zephaniah,1,3,Zephaniah 1:3,5,congregans,,,,Clementine,VUL
36,Zephaniah,1,3,Zephaniah 1:3,6,volatilia,,,,Clementine,VUL
36,Zephaniah,1,3,Zephaniah 1:3,7,cæli,,,,Clementine,VUL
36,Zephaniah,1,3,Zephaniah 1:3,8,et,,,,Clementine,VUL
36,Zephaniah,1,3,Zephaniah 1:3,9,pisces,,,,Clementine,VUL
36,Zephaniah,1,3,Zephaniah 1:3,10,maris,,,,Clementine,VUL
36,Zephaniah,1,3,Zephaniah 1:3,11,:,,,,Clementine,VUL
36,Zephaniah,1,3,Zephaniah 1:3,12,et,,,,Clementine,VUL
36,Zephaniah,1,3,Zephaniah 1:3,13,ruinæ,,,,Clementine,VUL
36,Zephaniah,1,3,Zephaniah 1:3,14,impiorum,,,,Clementine,VUL
36,Zephaniah,1,3,Zephaniah 1:3,15,"erunt,",,,,Clementine,VUL
36,Zephaniah,1,3,Zephaniah 1:3,16,et,,,,Clementine,VUL
36,Zephaniah,1,3,Zephaniah 1:3,17,disperdam,,,,Clementine,VUL
36,Zephaniah,1,3,Zephaniah 1:3,18,homines,,,,Clementine,VUL
36,Zephaniah,1,3,Zephaniah 1:3,19,a,,,,Clementine,VUL
36,Zephaniah,1,3,Zephaniah 1:3,20,facie,,,,Clementine,VUL
36,Zephaniah,1,3,Zephaniah 1:3,21,"terræ,",,,,Clementine,VUL
36,Zephaniah,1,3,Zephaniah 1:3,22,dicit,,,,Clementine,VUL
36,Zephaniah,1,3,Zephaniah 1:3,23,Dominus.,,,,Clementine,VUL
36,Zephaniah,1,4,Zephaniah 1:4,1,Et,,,,Clementine,VUL
36,Zephaniah,1,4,Zephaniah 1:4,2,extendam,,,,Clementine,VUL
36,Zephaniah,1,4,Zephaniah 1:4,3,manum,,,,Clementine,VUL
36,Zephaniah,1,4,Zephaniah 1:4,4,meam,,,,Clementine,VUL
36,Zephaniah,1,4,Zephaniah 1:4,5,super,,,,Clementine,VUL
36,Zephaniah,1,4,Zephaniah 1:4,6,Judam,,,,Clementine,VUL
36,Zephaniah,1,4,Zephaniah 1:4,7,et,,,,Clementine,VUL
36,Zephaniah,1,4,Zephaniah 1:4,8,super,,,,Clementine,VUL
36,Zephaniah,1,4,Zephaniah 1:4,9,omnes,,,,Clementine,VUL
36,Zephaniah,1,4,Zephaniah 1:4,10,habitantes,,,,Clementine,VUL
36,Zephaniah,1,4,Zephaniah 1:4,11,Jerusalem,,,,Clementine,VUL
36,Zephaniah,1,4,Zephaniah 1:4,12,:,,,,Clementine,VUL
36,Zephaniah,1,4,Zephaniah 1:4,13,et,,,,Clementine,VUL
36,Zephaniah,1,4,Zephaniah 1:4,14,disperdam,,,,Clementine,VUL
36,Zephaniah,1,4,Zephaniah 1:4,15,de,,,,Clementine,VUL
36,Zephaniah,1,4,Zephaniah 1:4,16,loco,,,,Clementine,VUL
36,Zephaniah,1,4,Zephaniah 1:4,17,hoc,,,,Clementine,VUL
36,Zephaniah,1,4,Zephaniah 1:4,18,reliquias,,,,Clementine,VUL
36,Zephaniah,1,4,Zephaniah 1:4,19,"Baal,",,,,Clementine,VUL
36,Zephaniah,1,4,Zephaniah 1:4,20,et,,,,Clementine,VUL
36,Zephaniah,1,4,Zephaniah 1:4,21,nomina,,,,Clementine,VUL
36,Zephaniah,1,4,Zephaniah 1:4,22,ædituorum,,,,Clementine,VUL
36,Zephaniah,1,4,Zephaniah 1:4,23,cum,,,,Clementine,VUL
36,Zephaniah,1,4,Zephaniah 1:4,24,sacerdotibus,,,,Clementine,VUL
36,Zephaniah,1,4,Zephaniah 1:4,25,;,,,,Clementine,VUL
36,Zephaniah,1,5,Zephaniah 1:5,1,et,,,,Clementine,VUL
36,Zephaniah,1,5,Zephaniah 1:5,2,eos,,,,Clementine,VUL
36,Zephaniah,1,5,Zephaniah 1:5,3,qui,,,,Clementine,VUL
36,Zephaniah,1,5,Zephaniah 1:5,4,adorant,,,,Clementine,VUL
36,Zephaniah,1,5,Zephaniah 1:5,5,super,,,,Clementine,VUL
36,Zephaniah,1,5,Zephaniah 1:5,6,tecta,,,,Clementine,VUL
36,Zephaniah,1,5,Zephaniah 1:5,7,militiam,,,,Clementine,VUL
36,Zephaniah,1,5,Zephaniah 1:5,8,"cæli,",,,,Clementine,VUL
36,Zephaniah,1,5,Zephaniah 1:5,9,et,,,,Clementine,VUL
36,Zephaniah,1,5,Zephaniah 1:5,10,adorant,,,,Clementine,VUL
36,Zephaniah,1,5,Zephaniah 1:5,11,et,,,,Clementine,VUL
36,Zephaniah,1,5,Zephaniah 1:5,12,jurant,,,,Clementine,VUL
36,Zephaniah,1,5,Zephaniah 1:5,13,in,,,,Clementine,VUL
36,Zephaniah,1,5,Zephaniah 1:5,14,"Domino,",,,,Clementine,VUL
36,Zephaniah,1,5,Zephaniah 1:5,15,et,,,,Clementine,VUL
36,Zephaniah,1,5,Zephaniah 1:5,16,jurant,,,,Clementine,VUL
36,Zephaniah,1,5,Zephaniah 1:5,17,in,,,,Clementine,VUL
36,Zephaniah,1,5,Zephaniah 1:5,18,Melchom,,,,Clementine,VUL
36,Zephaniah,1,5,Zephaniah 1:5,19,;,,,,Clementine,VUL
36,Zephaniah,1,6,Zephaniah 1:6,1,et,,,,Clementine,VUL
36,Zephaniah,1,6,Zephaniah 1:6,2,qui,,,,Clementine,VUL
36,Zephaniah,1,6,Zephaniah 1:6,3,avertuntur,,,,Clementine,VUL
36,Zephaniah,1,6,Zephaniah 1:6,4,de,,,,Clementine,VUL
36,Zephaniah,1,6,Zephaniah 1:6,5,post,,,,Clementine,VUL
36,Zephaniah,1,6,Zephaniah 1:6,6,tergum,,,,Clementine,VUL
36,Zephaniah,1,6,Zephaniah 1:6,7,"Domini,",,,,Clementine,VUL
36,Zephaniah,1,6,Zephaniah 1:6,8,et,,,,Clementine,VUL
36,Zephaniah,1,6,Zephaniah 1:6,9,qui,,,,Clementine,VUL
36,Zephaniah,1,6,Zephaniah 1:6,10,non,,,,Clementine,VUL
36,Zephaniah,1,6,Zephaniah 1:6,11,quæsierunt,,,,Clementine,VUL
36,Zephaniah,1,6,Zephaniah 1:6,12,"Dominum,",,,,Clementine,VUL
36,Zephaniah,1,6,Zephaniah 1:6,13,nec,,,,Clementine,VUL
36,Zephaniah,1,6,Zephaniah 1:6,14,investigaverunt,,,,Clementine,VUL
